级别,词,读音,频次,释义,用法/例句
Level 1,引起,yin3 qi3,302,"1.起身。 
2.一种事情﹑现象﹑活动等使另一种事情﹑现象﹑活动等出现。",（请据《现代汉语词典》等辞书补充）
Level 1,失调,shi1 tiao2,298,"1.音调不和谐。 
2.不得调迁。",（请据《现代汉语词典》等辞书补充）
Level 1,本病,ben3 bing4,293,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,所致,suo3 zhi4,280,1.达到的;得到的。,（请据《现代汉语词典》等辞书补充）
Level 1,瘀血,yu1 xue4,278,1.体内某部位血液瘀滞;凝滞不流通的血。,（请据《现代汉语词典》等辞书补充）
Level 1,加减,jia1 jian3,275,"1.增加和减少;增删。 
2.中医处方，根据古来汤方，参酌病人情况，加进和减去几味药，谓之某某汤加减。 
3.古代的一种博戏。其法已失传。",（请据《现代汉语词典》等辞书补充）
Level 1,大便,da4 bian4,274,"1.拉屎。 
2.屎。",（请据《现代汉语词典》等辞书补充）
Level 1,肝气,gan1 qi4,269,①中医指有两肋胀痛、呕吐、腹泻等症状的病。②容易发怒的心理状态。,（请据《现代汉语词典》等辞书补充）
Level 1,发热,fa1 re4,269,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,血液,xue4 ye4,269,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,肺气,fei4 qi4,268,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,中医,zhong1 yi1,267,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,精神,jing1 shen2,263,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,疼痛,teng2 tong4,263,"1.痛。 
2.疼爱。",（请据《现代汉语词典》等辞书补充）
Level 1,正常,zheng4 chang2,261,1.符合一般规律和情况。,（请据《现代汉语词典》等辞书补充）
Level 1,中医学,zhong1 yi1 xue2,260,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,致病,zhi4 bing4,260,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,失常,shi1 chang2,257,（请据《现代汉语词典》等辞书补充）,（请据《现代汉语词典》等辞书补充）
Level 1,可见,ke3 jian4,257,可以看见；可以想见由此～，这次事故是因为思想麻痹造成的。,（请据《现代汉语词典》等辞书补充）
Level 1,内伤,nei4 shang1,256,"1.心中悲痛。 
2.中医学名词。指七情过极﹑劳累过度﹑饮食不调等原因所引起的脏气损伤。 
3.中医学名词。泛指因跌﹑打﹑挤﹑碰等引起的血﹑气﹑脏腑﹑经络等的损伤。",（请据《现代汉语词典》等辞书补充）
